index,company_name,linkedin_job_url,baseline_s2_status,baseline_s2_reason,v189_s2_status,v189_s2_reason,website_url,identity_audit,selected_score,replay,elapsed_seconds
0,Loveland Innovations,https://www.linkedin.com/jobs/view/devops-engineer-at-loveland-innovations-4424981543,failed,NETWORK_TIMEOUT,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,7.778
1,iClassPro - Class Management Software,https://www.linkedin.com/jobs/view/devops-engineer-at-iclasspro-class-management-software-4441446072,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,3.666
2,Indica Labs,https://www.linkedin.com/jobs/view/devops-engineer-at-indica-labs-4438426469,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,7.191
3,Caesars Entertainment,https://www.linkedin.com/jobs/view/devops-engineer-at-caesars-entertainment-4409111101,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,6.437
4,Vectra AI,https://www.linkedin.com/jobs/view/devops-engineer-at-vectra-ai-4430117412,failed,NETWORK_TIMEOUT,success,,https://www.vectra.ai,PASS,230,reproduced,3.76
5,Versana,https://www.linkedin.com/jobs/view/devops-engineer-raleigh-at-versana-4428784625,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,7.351
6,Altec,https://www.linkedin.com/jobs/view/devops-engineer-at-altec-4440790313,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,10.849
7,Ivo,https://www.linkedin.com/jobs/view/devops-engineer-at-ivo-4401137274,success,,success,,https://www.ivo.ai,PASS,213,reproduced,6.085
8,NYC Department of Social Services,https://www.linkedin.com/jobs/view/devops-engineer-at-nyc-department-of-social-services-4425365717,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,4.941
9,City of Lubbock,https://www.linkedin.com/jobs/view/information-security-and-compliance-analyst-at-city-of-lubbock-4432727055,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,7.295
10,Sunwest Bank,https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-sunwest-bank-4420685217,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,6.161
11,"City of Pharr, TX",https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-city-of-pharr-tx-4437874960,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,6.965
12,"Stuller, Inc.",https://www.linkedin.com/jobs/view/information-security-analyst-at-stuller-inc-4424475160,failed,NETWORK_TIMEOUT,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,7.92
13,"SDS International, Inc.",https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-sds-international-inc-4317924361,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,4.673
14,"Nisga'a Tek, LLC",https://www.linkedin.com/jobs/view/defense-cyber-analyst-at-nisga-a-tek-llc-4409058516,success,,success,,https://www.nisgaatek.com/,PASS,213,reproduced,1.951
15,Hawaiian Electric,https://www.linkedin.com/jobs/view/cyber-operations-analyst-oahu-at-hawaiian-electric-4416993271,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,8.97
16,Mayo Clinic,https://www.linkedin.com/jobs/view/information-security-analyst-is-mod-at-mayo-clinic-4442117657,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,5.969
17,Benefis Health System,https://www.linkedin.com/jobs/view/vulnerability-analyst-information-technology-services-exempt-at-benefis-health-system-4432838078,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,4.431
18,Diamondback Energy,https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-diamondback-energy-4432462031,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,4.894
19,"Cretex Companies, Inc.",https://www.linkedin.com/jobs/view/it-cyber-security-risk-analyst-at-cretex-companies-inc-4439832665,failed,NETWORK_TIMEOUT,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,8.025
20,Hawaiian Electric,https://www.linkedin.com/jobs/view/information-assurance-analyst-oahu-at-hawaiian-electric-4438885728,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,9.28
21,FOTOMILL STUDIOS LIMITED,https://www.linkedin.com/jobs/view/computer-network-defense-analyst-at-fotomill-studios-limited-4370885298,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,4.684
22,PACS,https://www.linkedin.com/jobs/view/security-analyst-at-pacs-4441642099,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,8.386
23,North Dakota Information Technology (NDIT),https://www.linkedin.com/jobs/view/cyber-security-analyst-at-north-dakota-information-technology-ndit-4440062680,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,5.304
24,University of Oklahoma,https://www.linkedin.com/jobs/view/grc-analyst-intermediate-at-university-of-oklahoma-4430146950,failed,WEBSITE_NOT_RESOLVED,failed,WEBSITE_NOT_RESOLVED,,NOT_APPLICABLE,,reproduced,4.629
25,Holland America Line,https://www.linkedin.com/jobs/view/ux-designer-at-holland-america-line-4441219545,failed,NETWORK_TIMEOUT,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,6.49
26,ARUP Laboratories,https://www.linkedin.com/jobs/view/ux-user-experience-designer-ii-at-arup-laboratories-4441135780,failed,NETWORK_TIMEOUT,success,,https://www.aruplab.com,PASS,133,reproduced,5.803
27,IMG (International Medical Group),https://www.linkedin.com/jobs/view/ux-designer-at-img-international-medical-group-4426438449,failed,HTTP_FORBIDDEN,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,5.39
28,Necessary Ventures,https://www.linkedin.com/jobs/view/user-experience-ux-designer-at-necessary-ventures-4437656059,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,4.647
29,Versana,https://www.linkedin.com/jobs/view/ux-designer-at-versana-4429309954,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,7.687
30,Frost,https://www.linkedin.com/jobs/view/user-experience-designer-ii-at-frost-4406714624,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,7.675
31,Fabric,https://www.linkedin.com/jobs/view/product-designer-at-fabric-4425643348,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,6.457
32,Dechert LLP,https://www.linkedin.com/jobs/view/ux-designer-at-dechert-llp-4438146712,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,6.067
33,Slant CRM,https://www.linkedin.com/jobs/view/product-designer-at-slant-crm-4335431264,failed,HTTP_FORBIDDEN,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,8.694
