query,company_name,job_title,job_location,linkedin_job_url,website_url,career_url,job_list_url,opening_url,result_status,pipeline_status,error,reason_code,external_apply_exact,provider_search_exact,website_career_exact,route_union_exact,manual_disposition,manual_notes
DevOps Engineer,Loveland Innovations,DevOps Engineer,"Pleasant Grove, UT",https://www.linkedin.com/jobs/view/devops-engineer-at-loveland-innovations-4424981543,https://www.lovelandinnovations.com/,https://www.lovelandinnovations.com/careers/,https://recruiting.paylocity.com/recruiting/jobs/All/1842d214-71f6-424b-92ed-555e85a52c30/Loveland-Innovations-LLC,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4232544,success,success,,,False,False,True,True,,
DevOps Engineer,iClassPro - Class Management Software,DevOps Engineer,"Longview, TX",https://www.linkedin.com/jobs/view/devops-engineer-at-iclasspro-class-management-software-4441446072,https://www.iclasspro.com,https://www.iclasspro.com/careers,https://recruiting.paylocity.com/recruiting/jobs/All/7c2a1868-9c37-49da-820c-1c193bcd1fa6/iClassPro-Inc,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4331044,success,success,,,False,False,True,True,,
DevOps Engineer,Indica Labs,DevOps Engineer,"Albuquerque, NM",https://www.linkedin.com/jobs/view/devops-engineer-at-indica-labs-4438426469,https://indicalab.com/,https://indicalab.com/careers/,https://indicalab.bamboohr.com/careers,https://indicalab.bamboohr.com/careers/185,success,success,,,False,False,True,True,,
DevOps Engineer,WalkMe,DevOps Engineer,"Detroit, MI",https://www.linkedin.com/jobs/view/devops-engineer-at-walkme-4427575841,https://www.walkme.com/,https://www.walkme.com/careers/,https://www.walkme.com/careers/careers_list/,,success,partial,,OPENING_DISCOVERY_INCOMPLETE,False,False,False,False,,
DevOps Engineer,Aperia,DevOps Engineer,"Omaha, NE",https://www.linkedin.com/jobs/view/devops-engineer-at-aperia-4441209886,https://www.aperia.com/,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
DevOps Engineer,Tyler Technologies,DevOps Engineer,"Lubbock, TX",https://www.linkedin.com/jobs/view/devops-engineer-at-tyler-technologies-4415123997,,,,,failed,failed,fetch_failed,FETCH_FAILED,False,False,False,False,,
DevOps Engineer,Caesars Entertainment,DevOps Engineer,"Reno, NV",https://www.linkedin.com/jobs/view/devops-engineer-at-caesars-entertainment-4409111101,https://www.caesars.com,https://www.caesars.com/careers,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
DevOps Engineer,Vectra AI,DevOps Engineer,"Austin, TX",https://www.linkedin.com/jobs/view/devops-engineer-at-vectra-ai-4430117412,https://www.vectra.ai,https://www.vectra.ai/about/careers,https://job-boards.greenhouse.io/vectranetworks,,success,partial,,NETWORK_TIMEOUT,False,False,False,False,,
DevOps Engineer,"Wolfe, LLC",DevOps Engineer,"Pittsburgh, PA",https://www.linkedin.com/jobs/view/devops-engineer-at-wolfe-llc-4411757323,https://www.wolfe.com/,https://wolfe.pinpointhq.com/,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
DevOps Engineer,Lorum,DevOps Engineer,"New York, NY",https://www.linkedin.com/jobs/view/devops-engineer-at-lorum-4416280287,https://www.lorum.com/,https://www.lorum.com/careers,https://www.lorum.com/careers,https://www.lorum.com/open-roles/devops-engineer-34274,success,success,,,False,False,True,True,,
