company_name,job_title,job_location,linkedin_job_url,resolved_website_url,career_page_url,job_list_page_url,pipeline_opening_url,pipeline_status,primary_failure_stage,primary_failure_reason,all_failure_reasons,external_apply_observation,provider_search_reason,website_career_reason,manual_posting_status,manual_correct_website_url,manual_correct_career_url,manual_correct_job_list_url,manual_correct_opening_url,manual_disposition,manual_failure_route,manual_notes
Sony Interactive Entertainment,Software Engineer I,Los Angeles Metropolitan Area,https://www.linkedin.com/jobs/view/software-engineer-i-at-sony-interactive-entertainment-4412034983,https://sonyinteractive.com/en/,https://careers.playstation.com/?smcid=web%3Asie%3Aus-en%3Ahome%3Aprimary-nav%3Acareers,https://job-boards.greenhouse.io/haven,,partial,opening_match,OPENING_NOT_FOUND,opening_match:OPENING_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Hadrian,All Levels: Frontend Software Engineer,"Los Angeles, CA",https://www.linkedin.com/jobs/view/all-levels-frontend-software-engineer-at-hadrian-4285833475,https://www.hadrian.com/,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Hadrian,"Fullstack Software Engineer, New Grad","Los Angeles, CA",https://www.linkedin.com/jobs/view/fullstack-software-engineer-new-grad-at-hadrian-4427890981,https://www.hadrian.com/,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Middesk,Software Engineer,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-at-middesk-4205003719,https://www.middesk.com:443/,https://www.middesk.com:443/careers,https://jobs.ashbyhq.com/middesk,,failed,result_validation,RESULT_IDENTITY_MISMATCH,result_validation:RESULT_IDENTITY_MISMATCH,no_visible_external_apply_link,final_exact_not_available,final_exact_not_available,,,,,,,,
Leadenhall Search & Selection,Software Engineer,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/software-engineer-at-leadenhall-search-selection-4437695387,https://leadenhallsearch.com,https://leadenhallsearch.com/jobs/,https://leadenhallsearch.com/jobs/,,partial,opening_match,NETWORK_TIMEOUT,opening_match:NETWORK_TIMEOUT,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Paramount,Software Engineer,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-paramount-4408291912,https://www.paramount.com,https://careers.paramount.com,https://career41.sapsf.com,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
hackajob,Software Engineer - Apollo Platform,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-apollo-platform-at-hackajob-4440203478,https://hackajob.com/,https://hackajob.com/jobs,https://hackajob.com/en-us/jobs,,partial,opening_match,OPENING_DISCOVERY_INCOMPLETE,opening_match:OPENING_DISCOVERY_INCOMPLETE,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Redlands Community Hospital,New Graduate Registered Nurse (RN),"Redlands, CA",https://www.linkedin.com/jobs/view/new-graduate-registered-nurse-rn-at-redlands-community-hospital-4437655656,https://www.redlandshospital.org,https://www.redlandshospital.org/careers/,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Redlands Community Hospital,New Graduate Registered Nurse (RN),"Redlands, CA",https://www.linkedin.com/jobs/view/new-graduate-registered-nurse-rn-at-redlands-community-hospital-4437656695,https://www.redlandshospital.org,https://www.redlandshospital.org/careers/,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Redlands Community Hospital,New Graduate Registered Nurse (RN),"Redlands, CA",https://www.linkedin.com/jobs/view/new-graduate-registered-nurse-rn-at-redlands-community-hospital-4437663361,https://www.redlandshospital.org,https://www.redlandshospital.org/careers/,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
