index,company_name,job_title,job_location,linkedin_job_url,external_apply_url,external_input_coverage,external_candidate,external_board_verified,external_relationship_verified,external_exact,external_reason,search_input_coverage,search_candidate,search_board_verified,search_relationship_verified,search_exact,search_reason,website_input_coverage,website_candidate,website_board_verified,website_relationship_verified,website_exact,website_reason,union_exact,exact_route_bitmask,pipeline_status,career_page_url,job_list_page_url,open_position_url,failure_stage,failure_reason
1,Notion,"Software Engineer, Early Career","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-early-career-at-notion-4437461678,,False,False,False,False,False,input_not_covered,True,True,True,True,True,exact_attributable,True,True,True,True,True,exact_attributable,True,110,success,https://www.notion.com/careers,https://jobs.ashbyhq.com/notion,https://jobs.ashbyhq.com/notion/297b4ece-765f-4eea-b1b8-46057cb6501f,,
2,Notion,"Software Engineer, Early Career (AI)","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-early-career-ai-at-notion-4437472369,,False,False,False,False,False,input_not_covered,True,True,True,True,True,exact_attributable,True,True,True,True,True,exact_attributable,True,110,success,https://www.notion.com/careers,https://jobs.ashbyhq.com/notion,https://jobs.ashbyhq.com/notion/85947779-6b87-466a-98bc-30a640448c28,,
3,Sony Interactive Entertainment,Software Engineer I,Los Angeles Metropolitan Area,https://www.linkedin.com/jobs/view/software-engineer-i-at-sony-interactive-entertainment-4412034983,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,True,True,True,False,final_exact_not_available,False,000,partial,https://careers.playstation.com/?smcid=web%3Asie%3Aus-en%3Ahome%3Aprimary-nav%3Acareers,https://job-boards.greenhouse.io/haven,,opening_match,OPENING_NOT_FOUND
4,Fieldguide,Software Engineer (All Levels),"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-fieldguide-4421235421,,False,False,False,False,False,input_not_covered,True,True,True,True,True,exact_attributable,True,True,True,True,True,exact_attributable,True,110,success,https://www.fieldguide.io/careers,https://jobs.ashbyhq.com/fieldguide,https://jobs.ashbyhq.com/fieldguide/47a2afc4-1075-4378-83bb-714543b6c272,,
5,Collective,Software Engineer (New Grad),"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-collective-4414985647,,False,False,False,False,False,input_not_covered,True,True,True,True,True,exact_attributable,True,True,True,True,True,exact_attributable,True,110,success,https://www.collective.com/careers,https://jobs.ashbyhq.com/collective,https://jobs.ashbyhq.com/collective/40516856-b29c-4b38-b434-68be5241bacf,,
6,Hadrian,All Levels: Frontend Software Engineer,"Los Angeles, CA",https://www.linkedin.com/jobs/view/all-levels-frontend-software-engineer-at-hadrian-4285833475,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,False,False,False,False,candidate_not_produced,False,000,failed,,,,career_discovery,CAREER_PAGE_NOT_FOUND
7,Hadrian,"Fullstack Software Engineer, New Grad","Los Angeles, CA",https://www.linkedin.com/jobs/view/fullstack-software-engineer-new-grad-at-hadrian-4427890981,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,False,False,False,False,candidate_not_produced,False,000,failed,,,,career_discovery,CAREER_PAGE_NOT_FOUND
8,Intuit,Software Engineer 1,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-1-at-intuit-4401727507,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,True,True,True,True,exact_attributable,True,100,success,https://www.intuit.com/careers/,https://jobs.intuit.com/search-jobs?cid=directBookmarked_directBookmarked,https://jobs.intuit.com/job/new-york/staff-software-engineer/27595/97881292016,,
9,Middesk,Software Engineer,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-at-middesk-4205003719,,False,False,False,False,False,input_not_covered,True,True,True,True,False,final_exact_not_available,True,True,True,True,False,final_exact_not_available,False,000,failed,https://www.middesk.com:443/careers,https://jobs.ashbyhq.com/middesk,,result_validation,RESULT_IDENTITY_MISMATCH
10,Genius AI,Software Engineer - All Levels,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-genius-ai-4286961888,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,True,True,True,True,exact_attributable,True,100,success,https://glossgenius.com/careers,https://job-boards.greenhouse.io/glossgenius,https://job-boards.greenhouse.io/glossgenius/jobs/6681936003,,
11,Twitch,"Software Engineer I, Commerce Engineering","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-i-commerce-engineering-at-twitch-4390703326,,False,False,False,False,False,input_not_covered,True,True,True,True,True,exact_attributable,True,False,False,False,False,candidate_not_produced,True,010,success,https://www.twitch.tv/p/jobs/?utm_source=jobs,https://job-boards.greenhouse.io/twitch,https://job-boards.greenhouse.io/twitch/jobs/8457711002,,
12,Leadenhall Search & Selection,Software Engineer,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/software-engineer-at-leadenhall-search-selection-4437695387,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,True,True,True,False,final_exact_not_available,False,000,partial,https://leadenhallsearch.com/jobs/,https://leadenhallsearch.com/jobs/,,opening_match,NETWORK_TIMEOUT
13,Blossom,Software Engineer (All Levels),"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-blossom-4438850133,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,True,True,True,True,exact_attributable,True,100,success,https://www.joinblossomhealth.com/careers,https://jobs.ashbyhq.com/Blossom-Health,https://jobs.ashbyhq.com/Blossom-Health/a5d2c802-552b-40b8-9173-55b94e030ac9,,
14,Paramount,Software Engineer,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-paramount-4408291912,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,True,True,True,False,final_exact_not_available,False,000,partial,https://careers.paramount.com,https://career41.sapsf.com,,opening_match,PROVIDER_FETCH_FAILED
15,hackajob,Software Engineer - Apollo Platform,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-apollo-platform-at-hackajob-4440203478,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,True,True,True,False,final_exact_not_available,False,000,partial,https://hackajob.com/jobs,https://hackajob.com/en-us/jobs,,opening_match,OPENING_DISCOVERY_INCOMPLETE
16,LifeCare,FT Registered Nurse - AM,"Carrollton, TX",https://www.linkedin.com/jobs/view/ft-registered-nurse-am-at-lifecare-4440807088,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,True,True,True,True,exact_attributable,True,100,success,https://www.lifecare-health.com/careers,https://www.paycomonline.net/v4/ats/web.php/portal/037EB0FE686360763F2C3F1BB3B49B6C/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/037EB0FE686360763F2C3F1BB3B49B6C/jobs/378676,,
17,Redlands Community Hospital,New Graduate Registered Nurse (RN),"Redlands, CA",https://www.linkedin.com/jobs/view/new-graduate-registered-nurse-rn-at-redlands-community-hospital-4437655656,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,False,False,False,False,candidate_not_produced,False,000,partial,https://www.redlandshospital.org/careers/,,,job_board_discovery,JOB_BOARD_NOT_FOUND
18,Redlands Community Hospital,New Graduate Registered Nurse (RN),"Redlands, CA",https://www.linkedin.com/jobs/view/new-graduate-registered-nurse-rn-at-redlands-community-hospital-4437656695,,False,False,False,False,False,input_not_covered,True,False,False,False,False,candidate_not_produced,True,False,False,False,False,candidate_not_produced,False,000,partial,https://www.redlandshospital.org/careers/,,,job_board_discovery,JOB_BOARD_NOT_FOUND
